contract_id,client_id,vendor_id,employee_id,trip_type,booking_time,start_time,end_time,distance_km,duration_min,vehicle_type,vehicle_number,currency
17,14,18,61,INBOUND,2025-11-15T08:00:00,2025-11-15T08:05:00,2025-11-15T08:45:00,15.5,40,SEDAN,KA-10-AB-1000,INR
17,14,18,62,OUTBOUND,2025-11-16T18:00:00,2025-11-16T18:05:00,2025-11-16T18:55:00,20.5,50,SUV,KA-12-AB-1100,INR
17,14,18,63,OUTBOUND,2025-11-17T18:00:00,2025-11-17T18:05:00,2025-11-17T19:05:00,25.5,60,HATCHBACK,KA-14-AB-1200,INR
18,14,19,61,INBOUND,2025-11-15T08:00:00,2025-11-15T08:05:00,2025-11-15T08:45:00,15.5,40,SEDAN,KA-10-AB-1000,INR
18,14,19,62,OUTBOUND,2025-11-16T18:00:00,2025-11-16T18:05:00,2025-11-16T18:55:00,20.5,50,SUV,KA-12-AB-1100,INR
18,14,19,63,OUTBOUND,2025-11-17T18:00:00,2025-11-17T18:05:00,2025-11-17T19:05:00,25.5,60,HATCHBACK,KA-14-AB-1200,INR
19,15,20,66,INBOUND,2025-11-15T08:00:00,2025-11-15T08:05:00,2025-11-15T08:45:00,15.5,40,SEDAN,KA-10-AB-1000,INR
19,15,20,67,OUTBOUND,2025-11-16T18:00:00,2025-11-16T18:05:00,2025-11-16T18:55:00,20.5,50,SUV,KA-12-AB-1100,INR
19,15,20,68,OUTBOUND,2025-11-17T18:00:00,2025-11-17T18:05:00,2025-11-17T19:05:00,25.5,60,HATCHBACK,KA-14-AB-1200,INR
20,16,21,71,INBOUND,2025-11-15T08:00:00,2025-11-15T08:05:00,2025-11-15T08:45:00,15.5,40,SEDAN,KA-10-AB-1000,INR
20,16,21,72,OUTBOUND,2025-11-16T18:00:00,2025-11-16T18:05:00,2025-11-16T18:55:00,20.5,50,SUV,KA-12-AB-1100,INR
20,16,21,73,OUTBOUND,2025-11-17T18:00:00,2025-11-17T18:05:00,2025-11-17T19:05:00,25.5,60,HATCHBACK,KA-14-AB-1200,INR
